Symbol,Occurrence,Win,Mode,Hits,RTP
HV1,5x,5.0,BaseGame,0.002228823,0.022279846
HV1,5x,5.0,FreeGames,0.006203267,0.055716925
HV1,4x,3.0,BaseGame,0.005982098,0.033246505
HV1,4x,3.0,FreeGames,0.007003599,0.037748912
HV1,3x,2.0,BaseGame,0.014077242,0.041523891
HV1,3x,2.0,FreeGames,0.021394857,0.077656206

HV2,5x,3.0,BaseGame,0.018101541,0.162891809
HV2,5x,3.0,FreeGames,0.003352702,0.018045302
HV2,4x,1.0,BaseGame,0.022366109,0.049128041
HV2,4x,1.0,FreeGames,0.003130572,0.005617593
HV2,3x,0.5,BaseGame,0.04693313,0.046714165
HV2,3x,0.5,FreeGames,0.00337668,0.003035063

HV3,5x,1.5,BaseGame,0.020829135,0.129634725
HV3,5x,1.5,FreeGames,0.00530928,0.0142836
HV3,4x,0.8,BaseGame,0.022069654,0.045437243
HV3,4x,0.8,FreeGames,0.006274754,0.009003447
HV3,3x,0.3,BaseGame,0.043572929,0.027866322
HV3,3x,0.3,FreeGames,0.006235057,0.003367239

HV4,5x,1.0,BaseGame,0.006303051,0.0267777
HV4,5x,1.0,FreeGames,0.001229724,0.002207913
HV4,4x,0.5,BaseGame,0.009648328,0.016233414
HV4,4x,0.5,FreeGames,0.001704371,0.001536919
HV4,3x,0.2,BaseGame,0.014577651,0.004817773
HV4,3x,0.2,FreeGames,0.009113654,0.00328929

HV5,5x,1.0,BaseGame,0.003297923,0.013577668
HV5,5x,1.0,FreeGames,0.002727132,0.004905861
HV5,4x,0.5,BaseGame,0.003201576,0.004903452
HV5,4x,0.5,FreeGames,0.003739862,0.003377161
HV5,3x,0.2,BaseGame,0.014361513,0.007681468
HV5,3x,0.2,FreeGames,0.003583995,0.001320478

LV1,5x,0.5,BaseGame,0.002065222,0.001583933
LV1,5x,0.5,FreeGames,0.000321408,0.000355849
LV1,4x,0.3,BaseGame,0.003986057,0.001700538
LV1,4x,0.3,FreeGames,0.000788537,0.000500986
LV1,3x,0.2,BaseGame,0.01410064,0.003540531
LV1,3x,0.2,FreeGames,0.002404747,0.000928508

LV2,5x,0.5,BaseGame,0.000486689,0.000318688
LV2,5x,0.5,FreeGames,0.00056056,0.000544569
LV2,4x,0.3,BaseGame,0.001708912,0.00067648
LV2,4x,0.3,FreeGames,0.001041696,0.000590161
LV2,3x,0.2,BaseGame,0.006439431,0.001695178
LV2,3x,0.2,FreeGames,0.003218373,0.001199077

LV3,5x,0.4,BaseGame,0.001394013,0.000810735
LV3,5x,0.4,FreeGames,0.00033105,0.000264981
LV3,4x,0.2,BaseGame,0.003255788,0.00096315
LV3,4x,0.2,FreeGames,0.000630447,0.000242261
LV3,3x,0.1,BaseGame,0.010548397,0.00141422
LV3,3x,0.1,FreeGames,0.002213413,0.000409578

LV4,5x,0.4,BaseGame,0.000483587,0.000257336
LV4,5x,0.4,FreeGames,0.001171122,0.000854085
LV4,4x,0.2,BaseGame,0.001670493,0.000448054
LV4,4x,0.2,FreeGames,0.002597415,0.000942912
LV4,3x,0.1,BaseGame,0.006337441,0.00084869
LV4,3x,0.1,FreeGames,0.004547963,0.00082399

Metric,Value
BaseGameRTP,64.697
FreeGameRTP,24.877
RespinRTP,5.50
TotalRTP,95.07
