Symbol,Occurrence,Win,Mode,Hits,RTP
HV1,5x,500,BaseGame,0.008137000,0.344125000
HV1,4x,100,BaseGame,0.011467000,0.086460000
HV1,3x,20,BaseGame,0.064666000,0.064666000

HV2,5x,400,BaseGame,0.007562000,0.285180000
HV2,4x,80,BaseGame,0.017639000,0.096740000
HV2,3x,15,BaseGame,0.016551000,0.015835500

HV3,5x,300,BaseGame,0.004993000,0.230115000
HV3,4x,60,BaseGame,0.002422000,0.020595000
HV3,3x,10,BaseGame,0.013272000,0.014241000

HV4,5x,200,BaseGame,0.003700000,0.047760000
HV4,4x,40,BaseGame,0.006156000,0.012312000
HV4,3x,8,BaseGame,0.018172000,0.007268800

LV1,5x,100,BaseGame,0.046156000,0.482300000
LV1,4x,25,BaseGame,0.038314000,0.085971250
LV1,3x,5,BaseGame,0.094217000,0.031670250

LV2,5x,80,BaseGame,0.056322000,0.492048000
LV2,4x,20,BaseGame,0.033179000,0.053935000
LV2,3x,5,BaseGame,0.047133000,0.015339500

LV3,5x,60,BaseGame,0.012467000,0.072327000
LV3,4x,15,BaseGame,0.019895000,0.021833250
LV3,3x,3,BaseGame,0.035248000,0.006807600

LV4,5x,50,BaseGame,0.031451000,0.157887500
LV4,4x,10,BaseGame,0.026141000,0.022194000
LV4,3x,3,BaseGame,0.034662000,0.008388150

Metric,Value
BaseGameRTP,267.599980
TotalRTP,267.599980
TotalWager,20000000.000000
TotalPayout,53519996.000000
PaidHits,484890
FreeGames,86710
Spins,1000000
